owner,Gender
larry,m
laura,f
lauren,f
laurie,f
lawrence,m
leah,f
liesel,f
lily,f
linda,f
lindsay,f
lisa,f
lois,f
lord,m
lori,f
louis,m
lucas,m
lucien,m
lucy,f
luke,m
lydia,f
ma,f
mabel,f
madame,f
maggie,f
mama,f
mammy,f
man,m
marc,m
marcia,f
margaret,f
margarita,f
maria,f
mariam,f
marian,f
marie,f
marilyn,f
mario,m
marion,f
marjorie,f
mark,m
martha,f
martin,m
mary,f
master,m
matthew,m
maureen,f
max,m
meg,f
megan,f
melanie,f
melinda,f
melissa,f
men,m
michael,m
michele,f
michelle,f
mickey,m
mike,m
mildred,f
miss,f
mister,m
mistress,f
molly,f
mom,f
mommy,f
monica,f
monk,f
monsieur,m
moses,m
mother,f
mr,m
mrs,f
ms,f
mum,f
murderess,f
nancy,f
natalie,f
natasha,f
nathan,m
ned,m
neil,m
nephew,m
nicholas,m
nick,m
nicola,f
nicole,f
niece,f
nora,f
norma,f
norman,m
nun,f
oscar,m
oskar,m
owen,m
pa,m
pamela,f
patricia,f
patrick,m
paul,m
paula,f
pavel,m
peggy,f
pete,m
peter,m
philip,m
phillip,m
phyllis,f
pickwick,m
pierre,m
poetess,f
policeman,m
policewoman,f
priest,m
prince,m
princess,f
queen,f
rachel,f
ralph,m
randall,m
randy,m
ray,m
raymond,m
rebecca,f
renee,f
rhett,m
richard,m
rita,f
robert,m
roberta,f
rodney,m
roger,m
ron,m
ronald,m
rose,f
roy,m
rubashov,m
russell,m
ruth,f
ryan,m
sally,f
samantha,f
samuel,m
sandra,f
sara,f
sarah,f
scarlett,f
scott,m
sean,m
ser,m
seth,m
sharon,f
she,f
sheila,f
shelley,f
sherlock,m
shirley,f
silas,m
simon,m
sir,m
sister,f
slothrop,m
smith,m
son,m
sophie,f
stanley,m
stephanie,f
stephen,m
steve,m
steven,m
stuart,m
sue,f
susan,f
suzanne,f
sylvia,f
tamara,f
tara,f
teresa,f
terri,f
terry,m
theodore,m
theresa,f
thomas,m
tiffany,f
timothy,m
tina,f
toby,m
todd,m
tom,m
tommy,m
tony,m
travis,m
tyler,m
uncle,m
valerie,f
vicki,f
victor,m
victoria,f
vincent,m
virginia,f
waitress,f
walter,m
washington,m
wayne,m
wendy,f
wife,f
william,m
willie,m
witch,f
wizard,m
woman,f
women,f
yossarian,m
zachary,m
